x,Druck,Spalt
-2.85E-04,0.00E+00,1.52E-05
-2.84E-04,1.28E+03,1.52E-05
-2.83E-04,2.57E+03,1.51E-05
-2.82E-04,3.88E+03,1.50E-05
-2.82E-04,5.21E+03,1.49E-05
-2.81E-04,6.55E+03,1.48E-05
-2.80E-04,7.91E+03,1.47E-05
-2.79E-04,9.28E+03,1.46E-05
-2.78E-04,1.07E+04,1.45E-05
-2.77E-04,1.21E+04,1.45E-05
-2.77E-04,1.35E+04,1.44E-05
-2.76E-04,1.49E+04,1.43E-05
-2.75E-04,1.64E+04,1.42E-05
-2.74E-04,1.79E+04,1.41E-05
-2.73E-04,1.94E+04,1.40E-05
-2.72E-04,2.09E+04,1.39E-05
-2.72E-04,2.24E+04,1.39E-05
-2.71E-04,2.39E+04,1.38E-05
-2.70E-04,2.55E+04,1.37E-05
-2.69E-04,2.71E+04,1.36E-05
-2.68E-04,2.87E+04,1.35E-05
-2.67E-04,3.03E+04,1.34E-05
-2.67E-04,3.19E+04,1.34E-05
-2.66E-04,3.36E+04,1.33E-05
-2.65E-04,3.53E+04,1.32E-05
-2.64E-04,3.70E+04,1.31E-05
-2.63E-04,3.87E+04,1.30E-05
-2.62E-04,4.05E+04,1.30E-05
-2.62E-04,4.22E+04,1.29E-05
-2.61E-04,4.40E+04,1.28E-05
-2.60E-04,4.58E+04,1.27E-05
-2.59E-04,4.77E+04,1.26E-05
-2.58E-04,4.95E+04,1.26E-05
-2.57E-04,5.14E+04,1.25E-05
-2.57E-04,5.33E+04,1.24E-05
-2.56E-04,5.53E+04,1.23E-05
-2.55E-04,5.72E+04,1.22E-05
-2.54E-04,5.92E+04,1.22E-05
-2.53E-04,6.12E+04,1.21E-05
-2.52E-04,6.32E+04,1.20E-05
-2.52E-04,6.53E+04,1.19E-05
-2.51E-04,6.74E+04,1.18E-05
-2.50E-04,6.95E+04,1.18E-05
-2.49E-04,7.16E+04,1.17E-05
-2.48E-04,7.38E+04,1.16E-05
-2.47E-04,7.60E+04,1.15E-05
-2.47E-04,7.82E+04,1.15E-05
-2.46E-04,8.05E+04,1.14E-05
-2.45E-04,8.28E+04,1.13E-05
-2.44E-04,8.51E+04,1.12E-05
-2.43E-04,8.74E+04,1.12E-05
-2.42E-04,8.98E+04,1.11E-05
-2.42E-04,9.22E+04,1.10E-05
-2.41E-04,9.47E+04,1.09E-05
-2.40E-04,9.72E+04,1.09E-05
-2.39E-04,9.97E+04,1.08E-05
-2.38E-04,1.02E+05,1.07E-05
-2.37E-04,1.05E+05,1.06E-05
-2.37E-04,1.07E+05,1.06E-05
-2.36E-04,1.10E+05,1.05E-05
-2.35E-04,1.13E+05,1.04E-05
-2.34E-04,1.15E+05,1.03E-05
-2.33E-04,1.18E+05,1.03E-05
-2.32E-04,1.21E+05,1.02E-05
-2.32E-04,1.24E+05,1.01E-05
-2.31E-04,1.27E+05,1.01E-05
-2.30E-04,1.30E+05,9.99E-06
-2.29E-04,1.33E+05,9.92E-06
-2.28E-04,1.36E+05,9.85E-06
-2.27E-04,1.39E+05,9.78E-06
-2.27E-04,1.42E+05,9.70E-06
-2.26E-04,1.45E+05,9.63E-06
-2.25E-04,1.48E+05,9.57E-06
-2.24E-04,1.51E+05,9.50E-06
-2.23E-04,1.55E+05,9.43E-06
-2.22E-04,1.58E+05,9.36E-06
-2.22E-04,1.61E+05,9.29E-06
-2.21E-04,1.65E+05,9.22E-06
-2.20E-04,1.68E+05,9.15E-06
-2.19E-04,1.72E+05,9.08E-06
-2.18E-04,1.75E+05,9.02E-06
-2.17E-04,1.79E+05,8.95E-06
-2.17E-04,1.83E+05,8.88E-06
-2.16E-04,1.86E+05,8.82E-06
-2.15E-04,1.90E+05,8.75E-06
-2.14E-04,1.94E+05,8.68E-06
-2.13E-04,1.98E+05,8.62E-06
-2.12E-04,2.02E+05,8.55E-06
-2.12E-04,2.06E+05,8.49E-06
-2.11E-04,2.10E+05,8.42E-06
-2.10E-04,2.14E+05,8.36E-06
-2.09E-04,2.19E+05,8.29E-06
-2.08E-04,2.23E+05,8.23E-06
-2.07E-04,2.27E+05,8.16E-06
-2.07E-04,2.32E+05,8.10E-06
-2.06E-04,2.36E+05,8.03E-06
-2.05E-04,2.41E+05,7.97E-06
-2.04E-04,2.45E+05,7.91E-06
-2.03E-04,2.50E+05,7.84E-06
-2.02E-04,2.55E+05,7.78E-06
-2.02E-04,2.60E+05,7.72E-06
-2.01E-04,2.65E+05,7.66E-06
-2.00E-04,2.70E+05,7.60E-06
-1.99E-04,2.75E+05,7.53E-06
-1.98E-04,2.80E+05,7.47E-06
-1.97E-04,2.85E+05,7.41E-06
-1.96E-04,2.91E+05,7.35E-06
-1.96E-04,2.96E+05,7.29E-06
-1.95E-04,3.02E+05,7.23E-06
-1.94E-04,3.07E+05,7.17E-06
-1.93E-04,3.13E+05,7.11E-06
-1.92E-04,3.19E+05,7.05E-06
-1.91E-04,3.25E+05,6.99E-06
-1.91E-04,3.31E+05,6.93E-06
-1.90E-04,3.37E+05,6.87E-06
-1.89E-04,3.43E+05,6.81E-06
-1.88E-04,3.50E+05,6.76E-06
-1.87E-04,3.56E+05,6.70E-06
-1.86E-04,3.63E+05,6.64E-06
-1.86E-04,3.69E+05,6.58E-06
-1.85E-04,3.76E+05,6.52E-06
-1.84E-04,3.83E+05,6.47E-06
-1.83E-04,3.90E+05,6.41E-06
-1.82E-04,3.97E+05,6.35E-06
-1.81E-04,4.04E+05,6.30E-06
-1.81E-04,4.12E+05,6.24E-06
-1.80E-04,4.19E+05,6.19E-06
-1.79E-04,4.27E+05,6.13E-06
-1.78E-04,4.35E+05,6.08E-06
-1.77E-04,4.43E+05,6.02E-06
-1.76E-04,4.51E+05,5.97E-06
-1.76E-04,4.59E+05,5.91E-06
-1.75E-04,4.67E+05,5.86E-06
-1.74E-04,4.76E+05,5.80E-06
-1.73E-04,4.85E+05,5.75E-06
-1.72E-04,4.94E+05,5.70E-06
-1.71E-04,5.03E+05,5.64E-06
-1.71E-04,5.12E+05,5.59E-06
-1.70E-04,5.21E+05,5.54E-06
-1.69E-04,5.31E+05,5.49E-06
-1.68E-04,5.41E+05,5.43E-06
-1.67E-04,5.50E+05,5.38E-06
-1.66E-04,5.61E+05,5.33E-06
-1.66E-04,5.71E+05,5.28E-06
-1.65E-04,5.81E+05,5.23E-06
-1.64E-04,5.92E+05,5.18E-06
-1.63E-04,6.03E+05,5.13E-06
-1.62E-04,6.14E+05,5.08E-06
-1.61E-04,6.25E+05,5.03E-06
-1.61E-04,6.37E+05,4.98E-06
-1.60E-04,6.49E+05,4.93E-06
-1.59E-04,6.61E+05,4.88E-06
-1.58E-04,6.73E+05,4.83E-06
-1.57E-04,6.86E+05,4.78E-06
-1.56E-04,6.99E+05,4.73E-06
-1.56E-04,7.12E+05,4.68E-06
-1.55E-04,7.25E+05,4.63E-06
-1.54E-04,7.38E+05,4.59E-06
-1.53E-04,7.52E+05,4.54E-06
-1.52E-04,7.66E+05,4.49E-06
-1.51E-04,7.81E+05,4.45E-06
-1.51E-04,7.96E+05,4.40E-06
-1.50E-04,8.11E+05,4.35E-06
-1.49E-04,8.26E+05,4.31E-06
-1.48E-04,8.42E+05,4.26E-06
-1.47E-04,8.58E+05,4.21E-06
-1.46E-04,8.74E+05,4.17E-06
-1.46E-04,8.91E+05,4.12E-06
-1.45E-04,9.08E+05,4.08E-06
-1.44E-04,9.26E+05,4.03E-06
-1.43E-04,9.44E+05,3.99E-06
-1.42E-04,9.62E+05,3.95E-06
-1.41E-04,9.81E+05,3.90E-06
-1.41E-04,1.00E+06,3.86E-06
-1.40E-04,1.02E+06,3.81E-06
-1.39E-04,1.04E+06,3.77E-06
-1.38E-04,1.06E+06,3.73E-06
-1.37E-04,1.08E+06,3.69E-06
-1.36E-04,1.10E+06,3.64E-06
-1.36E-04,1.12E+06,3.60E-06
-1.35E-04,1.15E+06,3.56E-06
-1.34E-04,1.17E+06,3.52E-06
-1.33E-04,1.19E+06,3.48E-06
-1.32E-04,1.22E+06,3.44E-06
-1.31E-04,1.24E+06,3.40E-06
-1.31E-04,1.27E+06,3.36E-06
-1.30E-04,1.29E+06,3.32E-06
-1.29E-04,1.32E+06,3.28E-06
-1.28E-04,1.34E+06,3.24E-06
-1.27E-04,1.37E+06,3.20E-06
-1.26E-04,1.40E+06,3.16E-06
-1.26E-04,1.43E+06,3.12E-06
-1.25E-04,1.46E+06,3.08E-06
-1.24E-04,1.49E+06,3.04E-06
-1.23E-04,1.52E+06,3.00E-06
-1.22E-04,1.55E+06,2.96E-06
-1.21E-04,1.59E+06,2.93E-06
-1.21E-04,1.62E+06,2.89E-06
-1.20E-04,1.65E+06,2.85E-06
-1.19E-04,1.69E+06,2.82E-06
-1.18E-04,1.73E+06,2.78E-06
-1.17E-04,1.76E+06,2.74E-06
-1.16E-04,1.80E+06,2.71E-06
-1.16E-04,1.84E+06,2.67E-06
-1.15E-04,1.88E+06,2.63E-06
-1.14E-04,1.92E+06,2.60E-06
-1.13E-04,1.96E+06,2.56E-06
-1.12E-04,2.01E+06,2.53E-06
-1.11E-04,2.05E+06,2.50E-06
-1.10E-04,2.10E+06,2.46E-06
-1.10E-04,2.15E+06,2.43E-06
-1.09E-04,2.20E+06,2.39E-06
-1.08E-04,2.25E+06,2.36E-06
-1.07E-04,2.30E+06,2.33E-06
-1.06E-04,2.35E+06,2.29E-06
-1.05E-04,2.40E+06,2.26E-06
-1.05E-04,2.46E+06,2.23E-06
-1.04E-04,2.52E+06,2.20E-06
-1.03E-04,2.58E+06,2.16E-06
-1.02E-04,2.64E+06,2.13E-06
-1.01E-04,2.70E+06,2.10E-06
-1.00E-04,2.77E+06,2.07E-06
-9.96E-05,2.83E+06,2.04E-06
-9.88E-05,2.90E+06,2.01E-06
-9.80E-05,2.97E+06,1.98E-06
-9.71E-05,3.04E+06,1.95E-06
-9.63E-05,3.12E+06,1.92E-06
-9.55E-05,3.20E+06,1.89E-06
-9.46E-05,3.28E+06,1.86E-06
-9.38E-05,3.36E+06,1.83E-06
-9.30E-05,3.44E+06,1.80E-06
-9.21E-05,3.53E+06,1.77E-06
-9.13E-05,3.62E+06,1.74E-06
-9.05E-05,3.71E+06,1.72E-06
-8.96E-05,3.81E+06,1.69E-06
-8.88E-05,3.91E+06,1.66E-06
-8.79E-05,4.01E+06,1.63E-06
-8.71E-05,4.12E+06,1.61E-06
-8.63E-05,4.23E+06,1.58E-06
-8.54E-05,4.34E+06,1.55E-06
-8.46E-05,4.46E+06,1.53E-06
-8.38E-05,4.58E+06,1.50E-06
-8.29E-05,4.70E+06,1.47E-06
-8.21E-05,4.83E+06,1.45E-06
-8.13E-05,4.97E+06,1.42E-06
-8.04E-05,5.11E+06,1.40E-06
-7.96E-05,5.25E+06,1.37E-06
-7.88E-05,5.40E+06,1.35E-06
-7.79E-05,5.55E+06,1.32E-06
-7.71E-05,5.71E+06,1.30E-06
-7.63E-05,5.88E+06,1.28E-06
-7.54E-05,6.05E+06,1.25E-06
-7.46E-05,6.23E+06,1.23E-06
-7.38E-05,6.42E+06,1.21E-06
-7.29E-05,6.61E+06,1.18E-06
-7.21E-05,6.81E+06,1.16E-06
-7.12E-05,7.01E+06,1.14E-06
-7.04E-05,7.23E+06,1.12E-06
-6.96E-05,7.45E+06,1.10E-06
-6.87E-05,7.68E+06,1.08E-06
-6.79E-05,7.93E+06,1.05E-06
-6.71E-05,8.18E+06,1.03E-06
-6.62E-05,8.44E+06,1.01E-06
-6.54E-05,8.71E+06,9.92E-07
-6.46E-05,8.99E+06,9.72E-07
-6.37E-05,9.29E+06,9.52E-07
-6.29E-05,9.59E+06,9.33E-07
-6.21E-05,9.91E+06,9.13E-07
-6.12E-05,1.02E+07,8.94E-07
-6.04E-05,1.06E+07,8.75E-07
-5.96E-05,1.10E+07,8.57E-07
-5.87E-05,1.13E+07,8.39E-07
-5.79E-05,1.17E+07,8.21E-07
-5.71E-05,1.21E+07,8.03E-07
-5.62E-05,1.26E+07,7.85E-07
-5.54E-05,1.30E+07,7.68E-07
-5.46E-05,1.35E+07,7.51E-07
-5.37E-05,1.40E+07,7.34E-07
-5.29E-05,1.45E+07,7.18E-07
-5.20E-05,1.50E+07,7.02E-07
-5.12E-05,1.56E+07,6.86E-07
-5.04E-05,1.62E+07,6.70E-07
-4.95E-05,1.68E+07,6.55E-07
-4.87E-05,1.74E+07,6.39E-07
-4.79E-05,1.81E+07,6.24E-07
-4.70E-05,1.88E+07,6.10E-07
-4.62E-05,1.96E+07,5.95E-07
-4.54E-05,2.03E+07,5.81E-07
-4.45E-05,2.12E+07,5.67E-07
-4.37E-05,2.20E+07,5.54E-07
-4.29E-05,2.29E+07,5.40E-07
-4.20E-05,2.39E+07,5.27E-07
-4.12E-05,2.49E+07,5.14E-07
-4.04E-05,2.59E+07,5.02E-07
-3.95E-05,2.70E+07,4.89E-07
-3.87E-05,2.82E+07,4.77E-07
-3.79E-05,2.94E+07,4.65E-07
-3.70E-05,3.07E+07,4.54E-07
-3.62E-05,3.20E+07,4.42E-07
-3.53E-05,3.34E+07,4.31E-07
-3.45E-05,3.49E+07,4.21E-07
-3.37E-05,3.65E+07,4.10E-07
-3.28E-05,3.81E+07,4.00E-07
-3.20E-05,3.99E+07,3.90E-07
-3.12E-05,4.17E+07,3.80E-07
-3.03E-05,4.36E+07,3.70E-07
-2.95E-05,4.56E+07,3.61E-07
-2.87E-05,4.77E+07,3.52E-07
-2.78E-05,4.98E+07,3.43E-07
-2.70E-05,5.21E+07,3.35E-07
-2.62E-05,5.44E+07,3.27E-07
-2.53E-05,5.69E+07,3.19E-07
-2.45E-05,5.94E+07,3.11E-07
-2.37E-05,6.19E+07,3.04E-07
-2.28E-05,6.45E+07,2.96E-07
-2.20E-05,6.71E+07,2.90E-07
-2.12E-05,6.97E+07,2.83E-07
-2.03E-05,7.22E+07,2.76E-07
-1.95E-05,7.46E+07,2.70E-07
-1.86E-05,7.68E+07,2.64E-07
-1.78E-05,7.88E+07,2.59E-07
-1.70E-05,8.04E+07,2.53E-07
-1.61E-05,8.16E+07,2.48E-07
-1.53E-05,8.24E+07,2.43E-07
-1.45E-05,8.25E+07,2.39E-07
-1.36E-05,8.21E+07,2.34E-07
-1.28E-05,8.10E+07,2.30E-07
-1.20E-05,7.92E+07,2.27E-07
-1.11E-05,7.69E+07,2.23E-07
-1.03E-05,7.41E+07,2.20E-07
-9.46E-06,7.09E+07,2.17E-07
-8.63E-06,6.73E+07,2.14E-07
-7.79E-06,6.34E+07,2.11E-07
-6.96E-06,5.94E+07,2.09E-07
-6.12E-06,5.53E+07,2.07E-07
-5.29E-06,5.12E+07,2.05E-07
-4.45E-06,4.71E+07,2.04E-07
-3.62E-06,4.32E+07,2.02E-07
-2.78E-06,3.93E+07,2.01E-07
-1.95E-06,3.56E+07,2.01E-07
-1.11E-06,3.21E+07,2.00E-07
-2.78E-07,2.87E+07,2.00E-07
5.57E-07,2.56E+07,2.00E-07
1.39E-06,2.26E+07,2.00E-07
2.23E-06,1.99E+07,2.01E-07
3.06E-06,1.73E+07,2.02E-07
3.90E-06,1.50E+07,2.03E-07
4.73E-06,1.28E+07,2.04E-07
5.57E-06,1.08E+07,2.06E-07
6.40E-06,9.06E+06,2.08E-07
7.24E-06,7.47E+06,2.10E-07
8.07E-06,6.05E+06,2.12E-07
8.91E-06,4.80E+06,2.15E-07
9.74E-06,3.72E+06,2.18E-07
1.06E-05,2.79E+06,2.21E-07
1.14E-05,2.00E+06,2.24E-07
1.22E-05,1.36E+06,2.28E-07
1.31E-05,8.52E+05,2.32E-07
1.39E-05,4.68E+05,2.36E-07
1.48E-05,2.03E+05,2.40E-07
1.56E-05,4.93E+04,2.45E-07
1.64E-05,0.00E+00,2.50E-07
1.73E-05,0.00E+00,2.55E-07
1.81E-05,0.00E+00,2.61E-07
1.89E-05,0.00E+00,2.66E-07
1.98E-05,0.00E+00,2.72E-07
2.06E-05,0.00E+00,2.79E-07
2.14E-05,0.00E+00,2.85E-07
2.23E-05,0.00E+00,2.92E-07
2.31E-05,0.00E+00,2.99E-07
2.39E-05,0.00E+00,3.06E-07
2.48E-05,0.00E+00,3.14E-07
2.56E-05,0.00E+00,3.21E-07
2.64E-05,0.00E+00,3.29E-07
2.73E-05,0.00E+00,3.38E-07
2.81E-05,0.00E+00,3.46E-07
2.89E-05,0.00E+00,3.55E-07
2.98E-05,0.00E+00,3.64E-07
3.06E-05,0.00E+00,3.74E-07
3.15E-05,0.00E+00,3.83E-07
3.23E-05,0.00E+00,3.93E-07
3.31E-05,0.00E+00,4.03E-07
3.40E-05,0.00E+00,4.14E-07
3.48E-05,0.00E+00,4.24E-07
3.56E-05,0.00E+00,4.35E-07
3.65E-05,0.00E+00,4.46E-07
3.73E-05,0.00E+00,4.58E-07
3.81E-05,0.00E+00,4.69E-07
3.90E-05,0.00E+00,4.81E-07
3.98E-05,0.00E+00,4.93E-07
4.06E-05,0.00E+00,5.06E-07
4.15E-05,0.00E+00,5.18E-07
4.23E-05,0.00E+00,5.31E-07
4.31E-05,0.00E+00,5.45E-07
4.40E-05,0.00E+00,5.58E-07
4.48E-05,0.00E+00,5.72E-07
4.56E-05,0.00E+00,5.86E-07
4.65E-05,0.00E+00,6.00E-07
4.73E-05,0.00E+00,6.15E-07
4.81E-05,0.00E+00,6.29E-07
4.90E-05,0.00E+00,6.44E-07
